Not Bound Resource Budget Analysis Report

Resource Summary: 
  MIPS capacity 1732.800 MIPS : MIPS budget 139.049 MIPS
  6 out of 6 with MIPS capacity
  39 out of 39 with MIPS budget



Detailed Processor MIPS Capacity Report 

Component,Capacity
  thread BillCounterProc.counterThread,   10.000 MIPS,  0.000 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.BillCounterProc.counterThread total 0.000 MIPS below budget 10.000 MIPS (100.0 % slack)
process BillCounterProc, 0.000 MIPS,10.000 MIPS,
  thread TotalCounterProc.counterThread,   10.000 MIPS,  0.000 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.TotalCounterProc.counterThread total 0.000 MIPS below budget 10.000 MIPS (100.0 % slack)
process TotalCounterProc, 0.000 MIPS,10.000 MIPS,
  thread ActionsProc.interpreter,   10.000 MIPS,  0.963 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.ActionsProc.interpreter total 0.963 MIPS below budget 10.000 MIPS (90.4 % slack)
process ActionsProc, 0.000 MIPS,0.963 MIPS,
  thread PaymentProc.logic,   10.000 MIPS,  2.310 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.PaymentProc.logic total 2.310 MIPS below budget 10.000 MIPS (76.9 % slack)
process PaymentProc, 0.000 MIPS,2.310 MIPS,
  thread MainProcessor.logic,   30.000 MIPS,  0.000 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.MainProcessor.logic total 0.000 MIPS below budget 30.000 MIPS (100.0 % slack)
process MainProcessor, 0.000 MIPS,30.000 MIPS,
  thread Change.changeThread,   10.000 MIPS,  0.000 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.Change.changeThread total 0.000 MIPS below budget 10.000 MIPS (100.0 % slack)
process Change, 0.000 MIPS,10.000 MIPS,
  thread Recipe.GetRecipe,   10.000 MIPS,  0.000 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.Recipe.GetRecipe total 0.000 MIPS below budget 10.000 MIPS (100.0 % slack)
process Recipe, 0.000 MIPS,10.000 MIPS,
  thread Ingredient.SelectIngredient,   10.000 MIPS,  0.000 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.Ingredient.SelectIngredient total 0.000 MIPS below budget 10.000 MIPS (100.0 % slack)
process Ingredient, 0.000 MIPS,10.000 MIPS,
  thread Availability.CheckAvailability,   10.000 MIPS,  0.000 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.Availability.CheckAvailability total 0.000 MIPS below budget 10.000 MIPS (100.0 % slack)
process Availability, 0.000 MIPS,10.000 MIPS,
  thread Temperature.SelectTemperature,   10.000 MIPS,  0.000 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.Temperature.SelectTemperature total 0.000 MIPS below budget 10.000 MIPS (100.0 % slack)
process Temperature, 0.000 MIPS,10.000 MIPS,
  thread Cup.DispenseCup,   10.000 MIPS,  0.000 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.Cup.DispenseCup total 0.000 MIPS below budget 10.000 MIPS (100.0 % slack)
  thread Cup.LiftCup,   10.000 MIPS,  0.000 MIPS,thread CoffeeTeaMachineSystem_impl_Instance.Cup.LiftCup total 0.000 MIPS below budget 10.000 MIPS (100.0 % slack)
process Cup, 0.000 MIPS,20.000 MIPS,
Total, ,139.049 MIPS,
